theta_deg    D(разы)        D(дБ)
  0.0001  1.012135e-12  -119.9476
  0.1802  1.001643e-05  -49.9929
  0.3604  4.005318e-05  -43.9736
  0.5406  9.011084e-05  -40.4522
  0.7208  1.601904e-04  -37.9536
  0.9010  2.502933e-04  -36.0155
  1.0811  3.604212e-04  -34.4319
  1.2613  4.905764e-04  -33.0929
  1.4415  6.407613e-04  -31.9330
  1.6217  8.109791e-04  -30.9099
  1.8019  1.001233e-03  -29.9946
  1.9820  1.211527e-03  -29.1667
  2.1622  1.441864e-03  -28.4108
  2.3424  1.692251e-03  -27.7154
  2.5226  1.962690e-03  -27.0715
  2.7028  2.253189e-03  -26.4720
  2.8829  2.563752e-03  -25.9112
  3.0631  2.894385e-03  -25.3844
  3.2433  3.245095e-03  -24.8877
  3.4235  3.615889e-03  -24.4178
  3.6037  4.006774e-03  -23.9721
  3.7838  4.417757e-03  -23.5480
  3.9640  4.848847e-03  -23.1436
  4.1442  5.300051e-03  -22.7572
  4.3244  5.771379e-03  -22.3872
  4.5046  6.262839e-03  -22.0323
  4.6847  6.774441e-03  -21.6913
  4.8649  7.306194e-03  -21.3631
  5.0451  7.858109e-03  -21.0468
  5.2253  8.430196e-03  -20.7416
  5.4055  9.022466e-03  -20.4467
  5.5856  9.634930e-03  -20.1615
  5.7658  1.026760e-02  -19.8853
  5.9460  1.092049e-02  -19.6176
  6.1262  1.159360e-02  -19.3578
  6.3064  1.228696e-02  -19.1056
  6.4865  1.300057e-02  -18.8604
  6.6667  1.373445e-02  -18.6219
  6.8469  1.448861e-02  -18.3897
  7.0271  1.526307e-02  -18.1636
  7.2073  1.605783e-02  -17.9431
  7.3874  1.687292e-02  -17.7281
  7.5676  1.770835e-02  -17.5182
  7.7478  1.856413e-02  -17.3133
  7.9280  1.944028e-02  -17.1130
  8.1082  2.033681e-02  -16.9172
  8.2883  2.125373e-02  -16.7256
  8.4685  2.219108e-02  -16.5382
  8.6487  2.314886e-02  -16.3547
  8.8289  2.412708e-02  -16.1750
  9.0091  2.512577e-02  -15.9988
  9.1892  2.614494e-02  -15.8261
  9.3694  2.718461e-02  -15.6568
  9.5496  2.824479e-02  -15.4906
  9.7298  2.932551e-02  -15.3275
  9.9100  3.042678e-02  -15.1674
 10.0901  3.154863e-02  -15.0102
 10.2703  3.269106e-02  -14.8557
 10.4505  3.385409e-02  -14.7039
 10.6307  3.503776e-02  -14.5546
 10.8109  3.624206e-02  -14.4079
 10.9910  3.746704e-02  -14.2635
 11.1712  3.871269e-02  -14.1215
 11.3514  3.997905e-02  -13.9817
 11.5316  4.126613e-02  -13.8441
 11.7118  4.257395e-02  -13.7086
 11.8919  4.390253e-02  -13.5751
 12.0721  4.525189e-02  -13.4436
 12.2523  4.662205e-02  -13.3141
 12.4325  4.801304e-02  -13.1864
 12.6127  4.942487e-02  -13.0605
 12.7928  5.085756e-02  -12.9364
 12.9730  5.231113e-02  -12.8141
 13.1532  5.378560e-02  -12.6933
 13.3334  5.528100e-02  -12.5742
 13.5136  5.679735e-02  -12.4567
 13.6937  5.833465e-02  -12.3407
 13.8739  5.989295e-02  -12.2262
 14.0541  6.147225e-02  -12.1132
 14.2343  6.307258e-02  -12.0016
 14.4145  6.469395e-02  -11.8914
 14.5946  6.633640e-02  -11.7825
 14.7748  6.799993e-02  -11.6749
 14.9550  6.968458e-02  -11.5686
 15.1352  7.139036e-02  -11.4636
 15.3154  7.311728e-02  -11.3598
 15.4955  7.486538e-02  -11.2572
 15.6757  7.663468e-02  -11.1557
 15.8559  7.842519e-02  -11.0554
 16.0361  8.023693e-02  -10.9563
 16.2163  8.206992e-02  -10.8582
 16.3964  8.392419e-02  -10.7611
 16.5766  8.579976e-02  -10.6651
 16.7568  8.769664e-02  -10.5702
 16.9370  8.961485e-02  -10.4762
 17.1172  9.155442e-02  -10.3832
 17.2973  9.351536e-02  -10.2912
 17.4775  9.549770e-02  -10.2001
 17.6577  9.750144e-02  -10.1099
 17.8379  9.952662e-02  -10.0206
 18.0181  1.015732e-01   -9.9322
 18.1982  1.036413e-01   -9.8447
 18.3784  1.057309e-01   -9.7580
 18.5586  1.078420e-01   -9.6721
 18.7388  1.099746e-01   -9.5871
 18.9190  1.121288e-01   -9.5028
 19.0991  1.143045e-01   -9.4194
 19.2793  1.165018e-01   -9.3367
 19.4595  1.187206e-01   -9.2547
 19.6397  1.209611e-01   -9.1735
 19.8199  1.232232e-01   -9.0931
 20.0000  1.255070e-01   -9.0133
 20.1802  1.278124e-01   -8.9343
 20.3604  1.301394e-01   -8.8559
 20.5406  1.324882e-01   -8.7782
 20.7208  1.348586e-01   -8.7012
 20.9009  1.372508e-01   -8.6249
 21.0811  1.396647e-01   -8.5491
 21.2613  1.421003e-01   -8.4741
 21.4415  1.445576e-01   -8.3996
 21.6217  1.470368e-01   -8.3257
 21.8018  1.495377e-01   -8.2525
 21.9820  1.520604e-01   -8.1798
 22.1622  1.546048e-01   -8.1078
 22.3424  1.571711e-01   -8.0363
 22.5226  1.597592e-01   -7.9653
 22.7027  1.623692e-01   -7.8950
 22.8829  1.650009e-01   -7.8251
 23.0631  1.676545e-01   -7.7558
 23.2433  1.703299e-01   -7.6871
 23.4235  1.730272e-01   -7.6189
 23.6036  1.757464e-01   -7.5511
 23.7838  1.784874e-01   -7.4839
 23.9640  1.812503e-01   -7.4172
 24.1442  1.840350e-01   -7.3510
 24.3244  1.868416e-01   -7.2853
 24.5045  1.896701e-01   -7.2200
 24.6847  1.925205e-01   -7.1552
 24.8649  1.953928e-01   -7.0909
 25.0451  1.982869e-01   -7.0271
 25.2253  2.012029e-01   -6.9637
 25.4054  2.041408e-01   -6.9007
 25.5856  2.071006e-01   -6.8382
 25.7658  2.100823e-01   -6.7761
 25.9460  2.130858e-01   -6.7145
 26.1262  2.161112e-01   -6.6532
 26.3063  2.191584e-01   -6.5924
 26.4865  2.222275e-01   -6.5320
 26.6667  2.253184e-01   -6.4720
 26.8469  2.284312e-01   -6.4124
 27.0271  2.315658e-01   -6.3533
 27.2072  2.347223e-01   -6.2945
 27.3874  2.379005e-01   -6.2360
 27.5676  2.411005e-01   -6.1780
 27.7478  2.443224e-01   -6.1204
 27.9280  2.475659e-01   -6.0631
 28.1081  2.508313e-01   -6.0062
 28.2883  2.541184e-01   -5.9496
 28.4685  2.574272e-01   -5.8935
 28.6487  2.607577e-01   -5.8376
 28.8289  2.641099e-01   -5.7822
 29.0090  2.674838e-01   -5.7270
 29.1892  2.708793e-01   -5.6722
 29.3694  2.742964e-01   -5.6178
 29.5496  2.777352e-01   -5.5637
 29.7298  2.811955e-01   -5.5099
 29.9099  2.846774e-01   -5.4565
 30.0901  2.881808e-01   -5.4034
 30.2703  2.917056e-01   -5.3506
 30.4505  2.952520e-01   -5.2981
 30.6307  2.988198e-01   -5.2459
 30.8108  3.024090e-01   -5.1941
 30.9910  3.060195e-01   -5.1425
 31.1712  3.096514e-01   -5.0913
